DistanceFromTarget,ElevationDifference,GunTiltX,GunTiltY,XDifference,YDifference,Zdifference,HitOrMiss
23.66018,1.465423,79.65588,117.6224,-13.07787,1.465423,19.6628,0
48.40065,1.479591,76.05585,19.10516,47.13728,1.479591,10.88625,1
12.99454,1.756432,45.42107,100.7827,0.3551018,1.756432,12.87039,0
38.99761,1.462515,80.56066,79.70347,5.500565,1.462515,38.58003,0
52.50138,1.472787,77.65496,116.1062,-21.84466,1.472787,47.71831,0
40.9504,1.485532,74.79404,162.1753,-40.30717,1.485532,7.075314,0
46.73061,1.458966,81.79788,35.08647,38.24463,1.458966,26.81361,0
20.84359,1.453127,84.39413,97.0435,-4.119955,1.453127,20.38062,0
47.75085,1.484921,74.91898,67.8011,21.42467,1.484921,42.64882,0
54.96099,1.463062,80.38411,44.97249,41.10751,1.463062,36.45193,0
48.13535,1.465995,79.4871,21.12922,45.75898,1.465995,14.86534,0
18.59037,1.46502,79.77654,15.90855,18.06414,1.46502,4.140373,1
32.97278,1.45479,83.54812,84.663,4.703575,1.45479,32.60313,0
26.99034,1.5227,68.48428,140.47,-21.21379,1.5227,16.61729,0
19.70958,1.50088,71.92886,49.78675,13.50402,1.50088,14.27782,0
11.02058,1.658359,53.49163,91.20558,3.267897,1.658359,10.39346,0
46.54813,1.458654,81.91559,115.9254,-19.03834,1.458654,42.45164,0
45.4626,1.476214,76.82577,134.9085,-32.17256,1.476214,32.0873,1
30.23173,1.476248,76.81776,118.2539,-13.59565,1.476248,26.96176,0
45.61427,1.460461,81.25549,156.2952,-41.967,1.460461,17.81291,0
41.19707,1.479131,76.15811,15.00972,40.98385,1.479131,3.916019,0
24.46052,1.540479,66.02639,61.78088,12.55488,1.540479,20.93607,0
33.58449,1.454911,83.49043,133.8934,-22.33871,1.454911,25.03563,0
53.03208,1.46935,78.54591,142.9423,-41.9782,1.46935,32.37396,0
23.57899,1.476823,76.6836,159.6825,-22.66008,1.476823,6.348888,0
52.48373,1.466925,79.21811,49.51077,34.16803,1.466925,39.81124,0
50.562,1.476918,76.66152,29.23984,44.85931,1.476918,23.28038,1
21.22495,1.580849,61.17235,29.19575,21.08093,1.580849,1.895821,0
20.5381,1.590697,60.09893,69.39764,9.070251,1.590697,18.35794,0
7.901575,1.865314,37.6412,52.4852,7.645361,1.865314,0.7098846,0
53.42092,1.470269,78.3011,64.09934,23.80863,1.470269,47.7994,0
55.6823,1.475733,76.93888,66.83099,19.76531,1.475733,52.0353,0
